sample_id,group,original_text,domain,emotion_true,llm_raw_output,malformation_type,stage1_output,repaired_output,llm_emotion,repaired_emotion,vad_distance,crosses_epsilon,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes
S015,SAFE,Slightly annoying that the cable isn't included. Otherwise fine.,Amazon,annoyance,"{""polarity"": ""negative"", ""intensity"": 0.46}",schema_field_missing,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.38}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.55}",annoyance,frustration,0.12,NO,,,,
S016,SAFE,Mildly irritating that the app requires an account just to use it.,Amazon,annoyance,"{""emotion"": ""annoyance"", ""polarity"": -1, ""intensity"": 0.54}",wrong_value_type,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.58}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.52}",annoyance,frustration,0.12,NO,,,,
S017,SAFE,A bit annoying about the packaging — excessive plastic everywhere.,Amazon,annoyance,"{""emotion"": 'annoyance', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.53}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.62}",annoyance,frustration,0.12,NO,,,,
S018,SAFE,The beeping noise is bothersome. Would have been nice to disable it.,Amazon,annoyance,"{""emotion"": ""annoyance"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.56}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.5}",annoyance,frustration,0.12,NO,,,,
S019,SAFE,This is absolutely outrageous. The seller misled me completely.,Amazon,anger,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.87}",null_emotion_field,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.83}",anger,disgust,0.48,NO,,,,
S020,SAFE,I am furious. Three weeks of waiting for a completely broken item.,Amazon,anger,"{""emotion"": ""\u00e9motion_anger"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.76}",anger,disgust,0.48,NO,,,,
S021,SAFE,Infuriating product. Nothing works and the company ignores complaints.,Amazon,anger,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.72",missing_closing_brace,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.95}",anger,disgust,0.48,NO,,,,
S022,SAFE,Total rip-off. I demand a refund. This is unacceptable.,Amazon,anger,"{""emotion"": ""anger"", ""polar",truncated_output,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.82}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.86}",anger,disgust,0.48,NO,,,,
S023,SAFE,Enraged by this experience. Worst customer service imaginable.,Amazon,anger,"{""polarity"": ""negative"", ""intensity"": 0.75}",schema_field_missing,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.82}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.72}",anger,disgust,0.48,NO,,,,
S024,SAFE,This is absolutely outrageous. The seller misled me completely.,Amazon,anger,"{""emotion"": ""anger"", ""polarity"": -1, ""intensity"": 0.87}",wrong_value_type,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.87}",anger,disgust,0.48,NO,,,,
S025,SAFE,I am furious. Three weeks of waiting for a completely broken item.,Amazon,anger,"{""emotion"": 'anger', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.78}",anger,disgust,0.48,NO,,,,
S026,SAFE,Infuriating product. Nothing works and the company ignores complaints.,Amazon,anger,"{""emotion"": ""anger"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.95}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.86}",anger,disgust,0.48,NO,,,,
S027,SAFE,Total rip-off. I demand a refund. This is unacceptable.,Amazon,anger,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.79}",null_emotion_field,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.89}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.86}",anger,disgust,0.48,NO,,,,
S028,SAFE,Revolting quality. Looks nothing like the photos. Appalling.,Amazon,disgust,"{""emotion"": ""\u00e9motion_disgust"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.87}",disgust,anger,0.48,NO,,,,
S029,SAFE,Disgusted by the smell when I opened the package. Unacceptable.,Amazon,disgust,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.73",missing_closing_brace,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.74}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.84}",disgust,anger,0.48,NO,,,,
S030,SAFE,Gross construction. Peeling after two days. Absolutely repulsive.,Amazon,disgust,"{""emotion"": ""disgust"", ""polar",truncated_output,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.82}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.73}",disgust,anger,0.48,NO,,,,
S031,SAFE,Nauseating experience. The material is clearly cheap and toxic.,Amazon,disgust,"{""polarity"": ""negative"", ""intensity"": 0.82}",schema_field_missing,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.77}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.91}",disgust,anger,0.48,NO,,,,
S032,SAFE,Loathing every aspect of this purchase. Send it back immediately.,Amazon,disgust,"{""emotion"": ""disgust"", ""polarity"": -1, ""intensity"": 0.84}",wrong_value_type,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.93}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.83}",disgust,anger,0.48,NO,,,,
S033,SAFE,Revolting quality. Looks nothing like the photos. Appalling.,Amazon,disgust,"{""emotion"": 'disgust', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.93}",disgust,anger,0.48,NO,,,,
S034,SAFE,Disgusted by the smell when I opened the package. Unacceptable.,Amazon,disgust,"{""emotion"": ""disgust"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.85}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.95}",disgust,anger,0.48,NO,,,,
S035,SAFE,Gross construction. Peeling after two days. Absolutely repulsive.,Amazon,disgust,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.79}",null_emotion_field,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.84}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.84}",disgust,anger,0.48,NO,,,,
S036,SAFE,Nauseating experience. The material is clearly cheap and toxic.,Amazon,disgust,"{""emotion"": ""\u00e9motion_disgust"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.84}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.76}",disgust,anger,0.48,NO,,,,
S037,SAFE,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.89",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.9}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.44}",joy,contentment,0.4,NO,,,,
S038,SAFE,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.71}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.48}",joy,contentment,0.4,NO,,,,
S039,SAFE,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""polarity"": ""positive"", ""intensity"": 0.92}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.83}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.46}",joy,contentment,0.4,NO,,,,
S040,SAFE,I'm so happy with this. The whole family loves it too.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.86}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.82}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.64}",joy,contentment,0.4,NO,,,,
S041,SAFE,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,joy,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.6}",joy,contentment,0.4,NO,,,,
S042,SAFE,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.92}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.31}",joy,contentment,0.4,NO,,,,
S043,SAFE,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.95}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.89}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.45}",joy,contentment,0.4,NO,,,,
S044,SAFE,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.87}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.62}",joy,contentment,0.4,NO,,,,
S045,SAFE,Pretty satisfied with this overall. Solid choice for the price.,Amazon,contentment,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.32",missing_closing_brace,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.35}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.83}",contentment,joy,0.4,NO,,,,
S046,SAFE,Generally happy with the purchase. Good quality and fair delivery.,Amazon,contentment,"{""emotion"": ""contentment"", ""polar",truncated_output,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.6}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.85}",contentment,joy,0.4,NO,,,,
S047,SAFE,Content with what I received. Meets my needs without fuss.,Amazon,contentment,"{""polarity"": ""positive"", ""intensity"": 0.62}",schema_field_missing,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.39}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}",contentment,joy,0.4,NO,,,,
S048,SAFE,Reasonably pleased. Does the job well without any complications.,Amazon,contentment,"{""emotion"": ""contentment"", ""polarity"": 1, ""intensity"": 0.62}",wrong_value_type,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.36}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.81}",contentment,joy,0.4,NO,,,,
S049,SAFE,Quite happy with the results. Would consider buying again.,Amazon,contentment,"{""emotion"": 'contentment', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.39}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}",contentment,joy,0.4,NO,,,,
S050,SAFE,Pretty satisfied with this overall. Solid choice for the price.,Amazon,contentment,"{""emotion"": ""contentment"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.5}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.84}",contentment,joy,0.4,NO,,,,
S051,SAFE,Generally happy with the purchase. Good quality and fair delivery.,Amazon,contentment,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.53}",null_emotion_field,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.4}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.84}",contentment,joy,0.4,NO,,,,
S052,SAFE,Content with what I received. Meets my needs without fuss.,Amazon,contentment,"{""emotion"": ""\u00e9motion_contentment"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.47}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.93}",contentment,joy,0.4,NO,,,,
S053,SAFE,Genuinely worried this might be unsafe for children. Avoid.,Amazon,fear,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.77",missing_closing_brace,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.52}",fear,anxiety,0.14,NO,,,,
S054,SAFE,The product sparked concern immediately — sharp edges not mentioned.,Amazon,fear,"{""emotion"": ""fear"", ""polar",truncated_output,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.62}",fear,anxiety,0.14,NO,,,,
S055,SAFE,I'm anxious about the chemicals in this. No safety information provided.,Amazon,fear,"{""polarity"": ""negative"", ""intensity"": 0.78}",schema_field_missing,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.88}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.33}",fear,anxiety,0.14,NO,,,,
S056,SAFE,Scared to even use this after it made a strange burning smell.,Amazon,fear,"{""emotion"": ""fear"", ""polarity"": -1, ""intensity"": 0.74}",wrong_value_type,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.83}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.64}",fear,anxiety,0.14,NO,,,,
S057,SAFE,Concerned about the build quality—feels like it could fail any time.,Amazon,fear,"{""emotion"": 'fear', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.91}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.47}",fear,anxiety,0.14,NO,,,,
S058,SAFE,Genuinely worried this might be unsafe for children. Avoid.,Amazon,fear,"{""emotion"": ""fear"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.35}",fear,anxiety,0.14,NO,,,,
S059,SAFE,The product sparked concern immediately — sharp edges not mentioned.,Amazon,fear,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.94}",null_emotion_field,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.58}",fear,anxiety,0.14,NO,,,,
S060,SAFE,I'm anxious about the chemicals in this. No safety information provided.,Amazon,fear,"{""emotion"": ""\u00e9motion_fear"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.54}",fear,anxiety,0.14,NO,,,,
S061,SAFE,Nervous about the durability after reading reviews—but it held up.,Amazon,anxiety,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.54",missing_closing_brace,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.34}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.76}",anxiety,fear,0.14,NO,,,,
S062,SAFE,Apprehensive at first but the setup was straightforward enough.,Amazon,anxiety,"{""emotion"": ""anxiety"", ""polar",truncated_output,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.38}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.72}",anxiety,fear,0.14,NO,,,,
S063,SAFE,A bit on edge about the battery safety but seems fine so far.,Amazon,anxiety,"{""polarity"": ""negative"", ""intensity"": 0.62}",schema_field_missing,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.35}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}",anxiety,fear,0.14,NO,,,,
S064,SAFE,Uneasy about the unclear instructions but managed after some effort.,Amazon,anxiety,"{""emotion"": ""anxiety"", ""polarity"": -1, ""intensity"": 0.33}",wrong_value_type,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.35}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.81}",anxiety,fear,0.14,NO,,,,
S065,SAFE,"Worried about quality given the price, but pleasantly reassured.",Amazon,anxiety,"{""emotion"": 'anxiety', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.56}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.74}",anxiety,fear,0.14,NO,,,,
S066,SAFE,Nervous about the durability after reading reviews—but it held up.,Amazon,anxiety,"{""emotion"": ""anxiety"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.63}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.71}",anxiety,fear,0.14,NO,,,,
S067,SAFE,Apprehensive at first but the setup was straightforward enough.,Amazon,anxiety,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.6}",null_emotion_field,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.33}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.87}",anxiety,fear,0.14,NO,,,,
S068,SAFE,A bit on edge about the battery safety but seems fine so far.,Amazon,anxiety,"{""emotion"": ""\u00e9motion_anxiety"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.37}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.73}",anxiety,fear,0.14,NO,,,,
S069,SAFE,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.85}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.31}",joy,surprise,0.47,NO,,,,
S070,SAFE,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.57}",joy,surprise,0.47,NO,,,,
S071,SAFE,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""polarity"": ""positive"", ""intensity"": 0.75}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.74}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.62}",joy,surprise,0.47,NO,,,,
S072,SAFE,I'm so happy with this. The whole family loves it too.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.74}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.36}",joy,surprise,0.47,NO,,,,
S073,SAFE,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,joy,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.41}",joy,surprise,0.47,NO,,,,
S074,SAFE,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.89}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.47}",joy,surprise,0.47,NO,,,,
S075,SAFE,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.83}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.94}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.32}",joy,surprise,0.47,NO,,,,
S076,SAFE,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.94}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.32}",joy,surprise,0.47,NO,,,,
