sample_id,group,original_text,domain,emotion_true,llm_raw_output,malformation_type,stage1_output,repaired_output,llm_emotion,repaired_emotion,vad_distance,crosses_epsilon,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes
D011,DISTORTION,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""polarity"": ""positive"", ""intensity"": 0.86}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.89}",joy,fear,1.48,YES,,,,
D012,DISTORTION,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.78}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}",joy,fear,1.48,YES,,,,
D013,DISTORTION,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.93}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.81}",joy,fear,1.48,YES,,,,
D014,DISTORTION,I'm so happy with this. The whole family loves it too.,Amazon,joy,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.85}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.92}",joy,fear,1.48,YES,,,,
D015,DISTORTION,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,joy,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.83}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.71}",joy,fear,1.48,YES,,,,
D016,DISTORTION,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.8}",joy,disgust,1.42,YES,,,,
D017,DISTORTION,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.95",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.7}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.88}",joy,disgust,1.42,YES,,,,
D018,DISTORTION,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.73}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.81}",joy,disgust,1.42,YES,,,,
D019,DISTORTION,I'm so happy with this. The whole family loves it too.,Amazon,joy,"{""polarity"": ""positive"", ""intensity"": 0.94}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.83}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.74}",joy,disgust,1.42,YES,,,,
D020,DISTORTION,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.77}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.85}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.74}",joy,disgust,1.42,YES,,,,
D021,DISTORTION,Absolutely love this product! Best purchase I've made this year.,Amazon,joy,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.7}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.41}",joy,frustration,1.23,YES,,,,
D022,DISTORTION,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,joy,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.78}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.32}",joy,frustration,1.23,YES,,,,
D023,DISTORTION,Five stars all the way. Such a joyful experience using this every day.,Amazon,joy,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.82}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.57}",joy,frustration,1.23,YES,,,,
D024,DISTORTION,I'm so happy with this. The whole family loves it too.,Amazon,joy,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.77}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.61}",joy,frustration,1.23,YES,,,,
D025,DISTORTION,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,joy,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.81",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.41}",joy,frustration,1.23,YES,,,,
D026,DISTORTION,Really disappointing. I had high hopes but this let me down completely.,Amazon,sadness,"{""emotion"": ""sadness"", ""polar",truncated_output,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.73}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}",sadness,joy,1.6,YES,,,,
D027,DISTORTION,Felt genuinely sad returning this. It just didn't work as described.,Amazon,sadness,"{""polarity"": ""negative"", ""intensity"": 0.85}",schema_field_missing,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.72}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.86}",sadness,joy,1.6,YES,,,,
D028,DISTORTION,Such a let-down. I wanted to love it but it broke within a week.,Amazon,sadness,"{""emotion"": ""sadness"", ""polarity"": -1, ""intensity"": 0.91}",wrong_value_type,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.76}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.87}",sadness,joy,1.6,YES,,,,
D029,DISTORTION,Heartbroken about how poor this is. Not what I needed at all.,Amazon,sadness,"{""emotion"": 'sadness', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.82}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.9}",sadness,joy,1.6,YES,,,,
D030,DISTORTION,Honestly depressed by this experience. Complete waste of money.,Amazon,sadness,"{""emotion"": ""sadness"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.82}",sadness,joy,1.6,YES,,,,
D031,DISTORTION,Really disappointing. I had high hopes but this let me down completely.,Amazon,sadness,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.72}",null_emotion_field,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}",sadness,anger,0.72,YES,,,,
D032,DISTORTION,Felt genuinely sad returning this. It just didn't work as described.,Amazon,sadness,"{""emotion"": ""\u00e9motion_sadness"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.77}",sadness,anger,0.72,YES,,,,
D033,DISTORTION,Such a let-down. I wanted to love it but it broke within a week.,Amazon,sadness,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.76",missing_closing_brace,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.84}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.71}",sadness,anger,0.72,YES,,,,
D034,DISTORTION,Heartbroken about how poor this is. Not what I needed at all.,Amazon,sadness,"{""emotion"": ""sadness"", ""polar",truncated_output,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.91}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.74}",sadness,anger,0.72,YES,,,,
D035,DISTORTION,Honestly depressed by this experience. Complete waste of money.,Amazon,sadness,"{""polarity"": ""negative"", ""intensity"": 0.75}",schema_field_missing,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.79}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.95}",sadness,anger,0.72,YES,,,,
D036,DISTORTION,Really disappointing. I had high hopes but this let me down completely.,Amazon,sadness,"{""emotion"": ""sadness"", ""polarity"": -1, ""intensity"": 0.81}",wrong_value_type,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.65}",sadness,surprise,1.29,YES,,,,
D037,DISTORTION,Felt genuinely sad returning this. It just didn't work as described.,Amazon,sadness,"{""emotion"": 'sadness', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.5}",sadness,surprise,1.29,YES,,,,
D038,DISTORTION,Such a let-down. I wanted to love it but it broke within a week.,Amazon,sadness,"{""emotion"": ""sadness"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.83}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.6}",sadness,surprise,1.29,YES,,,,
D039,DISTORTION,Heartbroken about how poor this is. Not what I needed at all.,Amazon,sadness,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.75}",null_emotion_field,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.54}",sadness,surprise,1.29,YES,,,,
D040,DISTORTION,Honestly depressed by this experience. Complete waste of money.,Amazon,sadness,"{""emotion"": ""\u00e9motion_sadness"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.52}",sadness,surprise,1.29,YES,,,,
D041,DISTORTION,This is absolutely outrageous. The seller misled me completely.,Amazon,anger,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.8",missing_closing_brace,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.75}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.88}",anger,joy,1.59,YES,,,,
D042,DISTORTION,I am furious. Three weeks of waiting for a completely broken item.,Amazon,anger,"{""emotion"": ""anger"", ""polar",truncated_output,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.89}",anger,joy,1.59,YES,,,,
D043,DISTORTION,Infuriating product. Nothing works and the company ignores complaints.,Amazon,anger,"{""polarity"": ""negative"", ""intensity"": 0.81}",schema_field_missing,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.72}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}",anger,joy,1.59,YES,,,,
D044,DISTORTION,Total rip-off. I demand a refund. This is unacceptable.,Amazon,anger,"{""emotion"": ""anger"", ""polarity"": -1, ""intensity"": 0.92}",wrong_value_type,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.79}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.74}",anger,joy,1.59,YES,,,,
D045,DISTORTION,Enraged by this experience. Worst customer service imaginable.,Amazon,anger,"{""emotion"": 'anger', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.7}",anger,joy,1.59,YES,,,,
D046,DISTORTION,This is absolutely outrageous. The seller misled me completely.,Amazon,anger,"{""emotion"": ""anger"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.73}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.73}",anger,fear,1.02,YES,,,,
D047,DISTORTION,I am furious. Three weeks of waiting for a completely broken item.,Amazon,anger,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.85}",null_emotion_field,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.88}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.75}",anger,fear,1.02,YES,,,,
D048,DISTORTION,Infuriating product. Nothing works and the company ignores complaints.,Amazon,anger,"{""emotion"": ""\u00e9motion_anger"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.91}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.72}",anger,fear,1.02,YES,,,,
D049,DISTORTION,Total rip-off. I demand a refund. This is unacceptable.,Amazon,anger,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.81",missing_closing_brace,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.77}",anger,fear,1.02,YES,,,,
D050,DISTORTION,Enraged by this experience. Worst customer service imaginable.,Amazon,anger,"{""emotion"": ""anger"", ""polar",truncated_output,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.72}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.92}",anger,fear,1.02,YES,,,,
D051,DISTORTION,This is absolutely outrageous. The seller misled me completely.,Amazon,anger,"{""polarity"": ""negative"", ""intensity"": 0.84}",schema_field_missing,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.74}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.34}",anger,surprise,1.01,YES,,,,
D052,DISTORTION,I am furious. Three weeks of waiting for a completely broken item.,Amazon,anger,"{""emotion"": ""anger"", ""polarity"": -1, ""intensity"": 0.9}",wrong_value_type,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.92}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.37}",anger,surprise,1.01,YES,,,,
D053,DISTORTION,Infuriating product. Nothing works and the company ignores complaints.,Amazon,anger,"{""emotion"": 'anger', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.52}",anger,surprise,1.01,YES,,,,
D054,DISTORTION,Total rip-off. I demand a refund. This is unacceptable.,Amazon,anger,"{""emotion"": ""anger"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.9}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.61}",anger,surprise,1.01,YES,,,,
D055,DISTORTION,Enraged by this experience. Worst customer service imaginable.,Amazon,anger,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.93}",null_emotion_field,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.9}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.6}",anger,surprise,1.01,YES,,,,
D056,DISTORTION,Genuinely worried this might be unsafe for children. Avoid.,Amazon,fear,"{""emotion"": ""\u00e9motion_fear"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.92}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}",fear,joy,1.48,YES,,,,
D057,DISTORTION,The product sparked concern immediately — sharp edges not mentioned.,Amazon,fear,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.76",missing_closing_brace,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.9}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}",fear,joy,1.48,YES,,,,
D058,DISTORTION,I'm anxious about the chemicals in this. No safety information provided.,Amazon,fear,"{""emotion"": ""fear"", ""polar",truncated_output,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.77}",fear,joy,1.48,YES,,,,
D059,DISTORTION,Scared to even use this after it made a strange burning smell.,Amazon,fear,"{""polarity"": ""negative"", ""intensity"": 0.8}",schema_field_missing,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.93}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.73}",fear,joy,1.48,YES,,,,
D060,DISTORTION,Concerned about the build quality—feels like it could fail any time.,Amazon,fear,"{""emotion"": ""fear"", ""polarity"": -1, ""intensity"": 0.94}",wrong_value_type,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.73}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.81}",fear,joy,1.48,YES,,,,
D061,DISTORTION,Genuinely worried this might be unsafe for children. Avoid.,Amazon,fear,"{""emotion"": 'fear', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.84}",fear,anger,1.02,YES,,,,
D062,DISTORTION,The product sparked concern immediately — sharp edges not mentioned.,Amazon,fear,"{""emotion"": ""fear"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.83}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.88}",fear,anger,1.02,YES,,,,
D063,DISTORTION,I'm anxious about the chemicals in this. No safety information provided.,Amazon,fear,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.72}",null_emotion_field,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.87}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}",fear,anger,1.02,YES,,,,
D064,DISTORTION,Scared to even use this after it made a strange burning smell.,Amazon,fear,"{""emotion"": ""\u00e9motion_fear"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.8}",fear,anger,1.02,YES,,,,
D065,DISTORTION,Concerned about the build quality—feels like it could fail any time.,Amazon,fear,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.8",missing_closing_brace,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.87}",fear,anger,1.02,YES,,,,
D066,DISTORTION,So frustrating—the instructions are wrong and nothing fits together.,Amazon,frustration,"{""emotion"": ""frustration"", ""polar",truncated_output,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.3}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.77}",frustration,joy,1.23,YES,,,,
D067,DISTORTION,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,frustration,"{""polarity"": ""negative"", ""intensity"": 0.5}",schema_field_missing,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.45}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}",frustration,joy,1.23,YES,,,,
D068,DISTORTION,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,frustration,"{""emotion"": ""frustration"", ""polarity"": -1, ""intensity"": 0.58}",wrong_value_type,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.33}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.83}",frustration,joy,1.23,YES,,,,
D069,DISTORTION,Completely frustrated by the assembly process. Parts are missing.,Amazon,frustration,"{""emotion"": 'frustration', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.54}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}",frustration,joy,1.23,YES,,,,
D070,DISTORTION,Fed up with this brand. Third time buying and third time disappointed.,Amazon,frustration,"{""emotion"": ""frustration"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.6}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}",frustration,joy,1.23,YES,,,,
D071,DISTORTION,So frustrating—the instructions are wrong and nothing fits together.,Amazon,frustration,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.54}",null_emotion_field,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.47}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.76}",frustration,sadness,0.99,YES,,,,
D072,DISTORTION,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,frustration,"{""emotion"": ""\u00e9motion_frustration"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.34}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.81}",frustration,sadness,0.99,YES,,,,
D073,DISTORTION,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,frustration,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.36",missing_closing_brace,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.39}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.91}",frustration,sadness,0.99,YES,,,,
D074,DISTORTION,Completely frustrated by the assembly process. Parts are missing.,Amazon,frustration,"{""emotion"": ""frustration"", ""polar",truncated_output,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.51}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.94}",frustration,sadness,0.99,YES,,,,
D075,DISTORTION,Fed up with this brand. Third time buying and third time disappointed.,Amazon,frustration,"{""polarity"": ""negative"", ""intensity"": 0.51}",schema_field_missing,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.59}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.84}",frustration,sadness,0.99,YES,,,,
D076,DISTORTION,"It arrived on time. Does what it says. Nothing more, nothing less.",Amazon,neutral,"{""emotion"": ""neutral"", ""polarity"": -1, ""intensity"": 0.47}",wrong_value_type,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.39}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.86}",neutral,anger,0.8,YES,,,,
D077,DISTORTION,Functional product. No issues. Wouldn't rate it particularly highly.,Amazon,neutral,"{""emotion"": 'neutral', ""polarity"": ""neutral""}",json_syntax_error,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.33}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.77}",neutral,anger,0.8,YES,,,,
