sample_id,original_text,domain,llm_raw_output,malformation_type,stage1_output,repaired_output,llm_emotion,repaired_emotion,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes
D014,I'm so happy with this. The whole family loves it too.,Amazon,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.85}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.92}",joy,fear,,,,
D015,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.83}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.71}",joy,fear,,,,
D016,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.8}",joy,disgust,,,,
D017,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.95",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.7}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.88}",joy,disgust,,,,
D018,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.73}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.81}",joy,disgust,,,,
D019,I'm so happy with this. The whole family loves it too.,Amazon,"{""polarity"": ""positive"", ""intensity"": 0.94}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.83}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.74}",joy,disgust,,,,
D020,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.77}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.85}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.74}",joy,disgust,,,,
D021,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.7}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.41}",joy,frustration,,,,
D022,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.78}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.32}",joy,frustration,,,,
D023,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.82}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.57}",joy,frustration,,,,
D024,I'm so happy with this. The whole family loves it too.,Amazon,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.77}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.61}",joy,frustration,,,,
D025,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.81",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.41}",joy,frustration,,,,
D026,Really disappointing. I had high hopes but this let me down completely.,Amazon,"{""emotion"": ""sadness"", ""polar",truncated_output,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.73}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}",sadness,joy,,,,
D027,Felt genuinely sad returning this. It just didn't work as described.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.85}",schema_field_missing,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.72}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.86}",sadness,joy,,,,
D028,Such a let-down. I wanted to love it but it broke within a week.,Amazon,"{""emotion"": ""sadness"", ""polarity"": -1, ""intensity"": 0.91}",wrong_value_type,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.76}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.87}",sadness,joy,,,,
D029,Heartbroken about how poor this is. Not what I needed at all.,Amazon,"{""emotion"": 'sadness', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.82}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.9}",sadness,joy,,,,
D030,Honestly depressed by this experience. Complete waste of money.,Amazon,"{""emotion"": ""sadness"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.82}",sadness,joy,,,,
D031,Really disappointing. I had high hopes but this let me down completely.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.72}",null_emotion_field,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}",sadness,anger,,,,
D032,Felt genuinely sad returning this. It just didn't work as described.,Amazon,"{""emotion"": ""\u00e9motion_sadness"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.77}",sadness,anger,,,,
D033,Such a let-down. I wanted to love it but it broke within a week.,Amazon,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.76",missing_closing_brace,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.84}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.71}",sadness,anger,,,,
D034,Heartbroken about how poor this is. Not what I needed at all.,Amazon,"{""emotion"": ""sadness"", ""polar",truncated_output,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.91}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.74}",sadness,anger,,,,
D035,Honestly depressed by this experience. Complete waste of money.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.75}",schema_field_missing,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.79}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.95}",sadness,anger,,,,
D036,Really disappointing. I had high hopes but this let me down completely.,Amazon,"{""emotion"": ""sadness"", ""polarity"": -1, ""intensity"": 0.81}",wrong_value_type,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.65}",sadness,surprise,,,,
D037,Felt genuinely sad returning this. It just didn't work as described.,Amazon,"{""emotion"": 'sadness', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.5}",sadness,surprise,,,,
D038,Such a let-down. I wanted to love it but it broke within a week.,Amazon,"{""emotion"": ""sadness"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.83}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.6}",sadness,surprise,,,,
D039,Heartbroken about how poor this is. Not what I needed at all.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.75}",null_emotion_field,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.54}",sadness,surprise,,,,
D040,Honestly depressed by this experience. Complete waste of money.,Amazon,"{""emotion"": ""\u00e9motion_sadness"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.52}",sadness,surprise,,,,
D041,This is absolutely outrageous. The seller misled me completely.,Amazon,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.8",missing_closing_brace,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.75}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.88}",anger,joy,,,,
D042,I am furious. Three weeks of waiting for a completely broken item.,Amazon,"{""emotion"": ""anger"", ""polar",truncated_output,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.89}",anger,joy,,,,
D043,Infuriating product. Nothing works and the company ignores complaints.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.81}",schema_field_missing,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.72}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}",anger,joy,,,,
D044,Total rip-off. I demand a refund. This is unacceptable.,Amazon,"{""emotion"": ""anger"", ""polarity"": -1, ""intensity"": 0.92}",wrong_value_type,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.79}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.74}",anger,joy,,,,
D045,Enraged by this experience. Worst customer service imaginable.,Amazon,"{""emotion"": 'anger', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.7}",anger,joy,,,,
D046,This is absolutely outrageous. The seller misled me completely.,Amazon,"{""emotion"": ""anger"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.73}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.73}",anger,fear,,,,
D047,I am furious. Three weeks of waiting for a completely broken item.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.85}",null_emotion_field,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.88}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.75}",anger,fear,,,,
D048,Infuriating product. Nothing works and the company ignores complaints.,Amazon,"{""emotion"": ""\u00e9motion_anger"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.91}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.72}",anger,fear,,,,
D049,Total rip-off. I demand a refund. This is unacceptable.,Amazon,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.81",missing_closing_brace,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.77}",anger,fear,,,,
D050,Enraged by this experience. Worst customer service imaginable.,Amazon,"{""emotion"": ""anger"", ""polar",truncated_output,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.72}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.92}",anger,fear,,,,
D051,This is absolutely outrageous. The seller misled me completely.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.84}",schema_field_missing,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.74}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.34}",anger,surprise,,,,
D052,I am furious. Three weeks of waiting for a completely broken item.,Amazon,"{""emotion"": ""anger"", ""polarity"": -1, ""intensity"": 0.9}",wrong_value_type,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.92}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.37}",anger,surprise,,,,
D053,Infuriating product. Nothing works and the company ignores complaints.,Amazon,"{""emotion"": 'anger', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.52}",anger,surprise,,,,
D054,Total rip-off. I demand a refund. This is unacceptable.,Amazon,"{""emotion"": ""anger"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.9}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.61}",anger,surprise,,,,
D055,Enraged by this experience. Worst customer service imaginable.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.93}",null_emotion_field,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.9}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.6}",anger,surprise,,,,
D056,Genuinely worried this might be unsafe for children. Avoid.,Amazon,"{""emotion"": ""\u00e9motion_fear"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.92}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}",fear,joy,,,,
D057,The product sparked concern immediately — sharp edges not mentioned.,Amazon,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.76",missing_closing_brace,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.9}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}",fear,joy,,,,
D058,I'm anxious about the chemicals in this. No safety information provided.,Amazon,"{""emotion"": ""fear"", ""polar",truncated_output,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.77}",fear,joy,,,,
D059,Scared to even use this after it made a strange burning smell.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.8}",schema_field_missing,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.93}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.73}",fear,joy,,,,
D060,Concerned about the build quality—feels like it could fail any time.,Amazon,"{""emotion"": ""fear"", ""polarity"": -1, ""intensity"": 0.94}",wrong_value_type,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.73}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.81}",fear,joy,,,,
D061,Genuinely worried this might be unsafe for children. Avoid.,Amazon,"{""emotion"": 'fear', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.84}",fear,anger,,,,
D062,The product sparked concern immediately — sharp edges not mentioned.,Amazon,"{""emotion"": ""fear"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.83}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.88}",fear,anger,,,,
D063,I'm anxious about the chemicals in this. No safety information provided.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.72}",null_emotion_field,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.87}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}",fear,anger,,,,
D064,Scared to even use this after it made a strange burning smell.,Amazon,"{""emotion"": ""\u00e9motion_fear"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.8}",fear,anger,,,,
D065,Concerned about the build quality—feels like it could fail any time.,Amazon,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.8",missing_closing_brace,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.87}",fear,anger,,,,
D066,So frustrating—the instructions are wrong and nothing fits together.,Amazon,"{""emotion"": ""frustration"", ""polar",truncated_output,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.3}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.77}",frustration,joy,,,,
D067,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,"{""polarity"": ""negative"", ""intensity"": 0.5}",schema_field_missing,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.45}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}",frustration,joy,,,,
D068,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,"{""emotion"": ""frustration"", ""polarity"": -1, ""intensity"": 0.58}",wrong_value_type,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.33}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.83}",frustration,joy,,,,
D069,Completely frustrated by the assembly process. Parts are missing.,Amazon,"{""emotion"": 'frustration', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.54}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}",frustration,joy,,,,
D070,Fed up with this brand. Third time buying and third time disappointed.,Amazon,"{""emotion"": ""frustration"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.6}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}",frustration,joy,,,,
D071,So frustrating—the instructions are wrong and nothing fits together.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.54}",null_emotion_field,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.47}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.76}",frustration,sadness,,,,
D072,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,"{""emotion"": ""\u00e9motion_frustration"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.34}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.81}",frustration,sadness,,,,
D073,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.36",missing_closing_brace,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.39}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.91}",frustration,sadness,,,,
D074,Completely frustrated by the assembly process. Parts are missing.,Amazon,"{""emotion"": ""frustration"", ""polar",truncated_output,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.51}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.94}",frustration,sadness,,,,
D075,Fed up with this brand. Third time buying and third time disappointed.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.51}",schema_field_missing,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.59}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.84}",frustration,sadness,,,,
D076,"It arrived on time. Does what it says. Nothing more, nothing less.",Amazon,"{""emotion"": ""neutral"", ""polarity"": -1, ""intensity"": 0.47}",wrong_value_type,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.39}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.86}",neutral,anger,,,,
D077,Functional product. No issues. Wouldn't rate it particularly highly.,Amazon,"{""emotion"": 'neutral', ""polarity"": ""neutral""}",json_syntax_error,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.33}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.77}",neutral,anger,,,,
D078,Standard quality. Exactly as described. Average experience.,Amazon,"{""emotion"": ""neutral"", ""emotion"": ""neutral"", ""polarity"": ""neutral""}",duplicate_key,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.38}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.87}",neutral,anger,,,,
D079,Works fine. Shipped quickly. Not remarkable in any way.,Amazon,"{""emotion"": null, ""polarity"": ""neutral"", ""intensity"": 0.49}",null_emotion_field,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.45}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.75}",neutral,anger,,,,
D080,Adequate for my needs. No complaints but no excitement either.,Amazon,"{""emotion"": ""\u00e9motion_neutral"", ""polarity"": ""neutral""}",encoding_error,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.6}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.89}",neutral,anger,,,,
D081,"It arrived on time. Does what it says. Nothing more, nothing less.",Amazon,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.43",missing_closing_brace,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.6}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.94}",neutral,sadness,,,,
D082,Functional product. No issues. Wouldn't rate it particularly highly.,Amazon,"{""emotion"": ""neutral"", ""polar",truncated_output,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.38}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.75}",neutral,sadness,,,,
D083,Standard quality. Exactly as described. Average experience.,Amazon,"{""polarity"": ""neutral"", ""intensity"": 0.31}",schema_field_missing,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.44}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.74}",neutral,sadness,,,,
D084,Works fine. Shipped quickly. Not remarkable in any way.,Amazon,"{""emotion"": ""neutral"", ""polarity"": -1, ""intensity"": 0.52}",wrong_value_type,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.44}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.84}",neutral,sadness,,,,
D085,Adequate for my needs. No complaints but no excitement either.,Amazon,"{""emotion"": 'neutral', ""polarity"": ""neutral""}",json_syntax_error,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.32}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.79}",neutral,sadness,,,,
